benchmark,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multplicative Depth,compile_time (s),execution_time (s)
max_3,6,0,0,0,3,6,6,2,0.004,1.032
max_4,14,0,0,0,7,14,8,3,0.005,2.011
max_5,30,0,0,0,15,30,10,4,0.006,3.956
sort_3,10,0,0,0,5,10,8,3,0.004,1.916
sort_4,58,0,0,0,29,58,14,6,0.008,7.759 
lin_reg_4,2,0,1,0,0,1,3,1,0.157,0.044
lin_reg_8,2,0,1,0,0,1,3,1,0.172,0.044
lin_reg_16,2,0,1,0,0,1,3,1,0.175,0.044
lin_reg_32,2,0,1,0,0,1,3,1,0.203,0.044 
hamming_dist_4,6,1,0,3,0,3,7,2,0.177,0.628 
hamming_dist_8,7,1,0,4,0,3,9,2,0.195,0.663
hamming_dist_16,9,1,0,6,0,3,10,2,0.423,0.771
hamming_dist_32,10,1,0,7,0,3,12,2,2.120,0.803
poly_reg_4,3,0,0,0,0,2,5,2,0.170,0.347
poly_reg_8,3,0,0,0,0,2,5,2,0.178,0.347
poly_reg_16,3,0,0,0,0,2,5,2,0.208,0.347
poly_reg_32,3,0,0,0,0,2,5,2,0.307,0.346
l2_distance_4,3,1,0,3,0,1,5,1,0.158,0.305
l2_distance_8,4,1,0,4,0,1,7,1,0.179,0.338
l2_distance_16,6,1,0,6,0,1,8,1,0.245,0.444
l2_distance_32,7,1,0,7,0,1,10,1,1.196,0.479
dot_product_4,3,0,0,3,0,1,4,1,0.158,0.303
dot_product_8,4,0,0,4,0,1,6,1,0.163,0.339
dot_product_16,6,0,0,6,0,1,7,1,0.194,0.444
dot_product_32,7,0,0,7,0,1,9,1,0.438,0.481
box_blur_4,5,0,0,1,0,0,5,0,0.220,0.137
box_blur_8,5,0,0,1,0,0,5,0,0.688,0.138
box_blur_16,5,0,0,1,0,0,5,0,4.233,0.139
box_blur_32,5,0,0,1,0,0,5,0,9.552,0.140
gx_kernel_4,4,1,3,0,0,3,4,1,0.295,0.163
gx_kernel_8,4,1,3,0,0,3,4,1,0.345,0.164
gx_kernel_16,4,1,3,0,0,3,4,1,2.398,0.164
gx_kernel_32,4,1,3,0,0,3,4,1,5.284,0.166
gy_kernel_4,8,1,5,0,0,5,5,1,0.192,0.273
gy_kernel_8,8,1,5,0,0,5,5,1,0.350,0.273
gy_kernel_16,8,1,5,0,0,5,5,1,2.436,0.274
gy_kernel_32,8,1,5,0,0,5,5,1,5.816,0.279
roberts_cross_4,3,2,0,0,0,2,4,1,0.195,0.367
roberts_cross_8,3,2,0,0,0,2,4,1,0.435,0.367
roberts_cross_16,3,2,0,0,0,2,4,1,2.746,0.367
roberts_cross_32,3,2,0,0,0,2,4,1,6.884,0.369
matrix_mul_4,3,0,0,3,0,1,4,1,0.196,0.304
matrix_mul_8,4,0,0,4,0,1,6,1,2.436,0.340
matrix_mul_16,6,0,0,6,0,1,7,1,9.882,0.447
matrix_mul_32,31,0,0,0,0,32,6,1,60.780,5.141
tree_50-50-5,4.0,0.0,0.0,0.0,0.0,2.0,4,2,0.369,11.958
tree_50-50-10,16.0,0.0,0.0,0.0,0.0,16.0,11,5,0.863,81.798
tree_100-50-5,18.0,0.0,0.0,1.0,0.0,14.0,7,3,0.427,72.030
tree_100-50-10,533.0,0.0,0.0,3.0,0.0,487.0,15,8,6.609,2492.170
tree_100-100-5,2.0,0.0,0.0,0.0,0.0,29.0,5,4,0.260,131.901
tree_100-100-10,1.0,0.0,0.0,1.0,0.0,511.0,11,9,1.143,2265.110
