benchmark,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multplicative Depth,compile_time (s),execution_time (s)
max_3,3.0,2.0,0.0,5.0,0.0,3.0,8.0,2.0,0.312,0.629
max_4,7.0,4.0,0.0,11.0,0.0,7.0,11.0,3.0,3.796,1.407
max_5,15.0,8.0,0.0,23.0,0.0,15.0,14.0,4.0,109.228,2.960
sort_3,5.0,4.0,0.0,9.0,0.0,5.0,11.0,3.0,3.124,1.053 
sort_4,18.0,11.0,0.0,29.0,0.0,18.0,20.0,6.0,257.457,3.603
discrete_cosin_transform_1,4.0,4.0,1.0,8.0,0.0,2.0,12.0,2.0,27.931,0.531
poly_derivative_1,4.0,0.0,0.0,4.0,0.0,3.0,7.0,2.0,0.430,0.626
box_blur_4,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,3.608,0.304
box_blur_8,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,7.202,0.306
box_blur_16,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,15.784,0.306
box_blur_32,5.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,30.233,0.224
lin_reg_4,3.0,0.0,1.0,3.0,0.0,1.0,4.0,1.0,0.190,0.177
lin_reg_8,3.0,0.0,1.0,3.0,0.0,1.0,4.0,1.0,0.281,0.176
lin_reg_16,3.0,0.0,1.0,3.0,0.0,1.0,4.0,1.0,0.301,0.176
lin_reg_32,3.0,0.0,1.0,3.0,0.0,1.0,4.0,1.0,0.614,0.177
poly_reg_4,4.0,0.0,0.0,4.0,0.0,2.0,7.0,2.0,0.816,0.486
poly_reg_8,4.0,0.0,0.0,4.0,0.0,2.0,7.0,2.0,2.444,0.484
poly_reg_16,4.0,0.0,0.0,4.0,0.0,2.0,7.0,2.0,9.103,0.484
poly_reg_32,4.0,0.0,0.0,4.0,0.0,2.0,7.0,2.0,19.625,0.486
dot_product_4,3.0,0.0,0.0,3.0,0.0,1.0,4.0,1.0,0.199,0.306
dot_product_8,4.0,0.0,0.0,4.0,0.0,1.0,6.0,1.0,0.187,0.343
dot_product_16,6.0,0.0,0.0,6.0,0.0,1.0,7.0,1.0,0.335,0.449
dot_product_32,7.0,0.0,0.0,7.0,0.0,1.0,9.0,1.0,1.752,0.484
gx_kernel_4,5.0,1.0,0.0,3.0,1.0,1.0,7.0,1.0,7.965,0.348
gx_kernel_8,5.0,1.0,0.0,3.0,1.0,1.0,7.0,1.0,24.801,0.351
gx_kernel_16,5.0,1.0,0.0,3.0,1.0,1.0,7.0,1.0,34.636,0.351
gx_kernel_32,5.0,1.0,0.0,3.0,1.0,1.0,7.0,1.0,35.239,0.356
gy_kernel_4,8.0,1.0,0.0,4.0,2.0,2.0,7.0,1.0,11.006,0.550
gy_kernel_8,8.0,1.0,0.0,4.0,2.0,2.0,7.0,1.0,36.891,0.550
gy_kernel_16,8.0,1.0,0.0,4.0,2.0,2.0,7.0,1.0,54.403,0.552
gy_kernel_32,8.0,1.0,0.0,4.0,2.0,2.0,7.0,1.0,58.019,0.556
roberts_cross_4,2.0,1.0,0.0,2.0,0.0,1.0,6.0,1.0,1.379,0.238
roberts_cross_8,2.0,1.0,0.0,2.0,0.0,1.0,6.0,1.0,10.088,0.236
roberts_cross_16,2.0,1.0,0.0,2.0,0.0,1.0,6.0,1.0,26.087,0.238
roberts_cross_32,2.0,1.0,0.0,2.0,0.0,1.0,6.0,1.0,25.409,0.240
matrix_mul_4,3.0,0.0,0.0,3.0,0.0,1.0,4.0,1.0,0.316,0.307
matrix_mul_8,4.0,0.0,0.0,4.0,0.0,1.0,6.0,1.0,12.141,0.342
matrix_mul_16,6.0,0.0,0.0,6.0,0.0,1.0,7.0,1.0,61.029,0.452
matrix_mul_32,10.0,0.0,0.0,7.0,0.0,4.0,8.0,1.0,170.552,0.957
tree_50-50_5_1,5.0,0.0,0.0,5.0,0.0,2.0,7.0,2.0,0.285,0.517
tree_50-50_5_2,4.0,0.0,0.0,4.0,0.0,2.0,5.0,2.0,0.173,0.484
tree_50-50_10_1,15.0,0.0,0.0,17.0,0.0,8.0,18.0,7.0,73.974,1.885 
tree_50-50_10_2,14.0,0.0,0.0,16.0,0.0,10.0,18.0,5.0,134.399,2.104 
tree_100-50_5_1,9.0,0.0,0.0,11.0,0.0,4.0,16.0,4.0,44.416,1.009
tree_100-50_5_2,9.0,0.0,0.0,11.0,0.0,4.0,16.0,4.0,37.053,1.010
tree_100-50_10_1,0.0,0.0,0.0,0.0,0.0,0.0,Verr
tree_100-50_10_2,0.0,0.0,0.0,0.0,0.0,0.0,Verr
tree_100-100_5_1,1.0,0.0,0.0,4.0,0.0,4.0,9.0,4.0,0.440,0.670
tree_100-100_5_2,2.0,0.0,0.0,6.0,0.0,7.0,8.0,4.0,0.668,1.145
tree_100-100_10_1,1.0,0.0,0.0,9.0,0.0,9.0,19.0,9.0,13.031,1.453
tree_100-100_10_2,0.0,0.0,0.0,4.0,0.0,67.0,14.0,10.0,87.445,9.549
